date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022/10/22,2023,0,,PHI,SAS,1571.092076,1470.966802,0.759878532,0.240121468,1553.479193,1488.579684,,,,,,,1629.032281,1441.573633,0.854657956,0.145342044,105,114,63,9,36
2022/10/22,2023,0,,IND,DET,1382.789733,1390.308449,0.630034557,0.369965443,1389.495936,1383.602247,,,,,,,1435.591453,1339.254482,0.734777545,0.265222455,124,115,11,6,9
2022/10/22,2023,0,,ORL,BOS,1359.479715,1671.775517,0.22757187,0.77242813,1356.471173,1674.784059,,,,,,,1298.291561,1675.723344,0.145696634,0.854303366,120,126,35,2,19
2022/10/22,2023,0,,MIL,HOU,1590.72697,1344.143554,0.880281071,0.119718929,1593.797633,1341.07289,,,,,,,1597.754234,1319.987357,0.909846257,0.090153743,125,105,29,2,16
2022/10/22,2023,0,,CHI,CLE,1463.170153,1485.643564,0.609754151,0.390245849,1433.372302,1515.441415,,,,,,,1500.696029,1517.439863,0.516985688,0.483014312,96,128,55,59,57
2022/10/22,2023,0,,MIA,TOR,1589.238081,1551.005728,0.689060216,0.310939784,1592.368582,1547.875227,,,,,,,1643.702742,1608.49173,0.656206771,0.343793229,112,109,90,28,59
2022/10/22,2023,0,,DAL,MEM,1596.86341,1611.791589,0.620038766,0.379961234,1616.446244,1592.208755,,,,,,,1630.484836,1585.494526,0.716874167,0.283125833,137,96,87,10,49
2022/10/22,2023,0,,DEN,OKC,1529.133032,1363.735251,0.821677231,0.178322769,1531.203321,1361.664963,,,,,,,1620.830826,1348.407787,0.877392742,0.122607258,122,117,39,1,20
2022/10/22,2023,0,,SAC,LAC,1398.338993,1527.91437,0.45754012,0.54245988,1394.019646,1532.233716,,,,,,,1460.02056,1562.404691,0.457701729,0.542298271,109,111,55,32,44
2022/10/23,2023,0,,LAL,POR,1431.215365,1339.04674,0.751422149,0.248577851,1422.634674,1347.627431,,,,,,,1471.803264,1502.999563,0.566380144,0.433619856,104,106,45,46,46
2022/10/23,2023,0,,ATL,CHO,1541.049875,1536.66045,0.64586535,0.35413465,1520.405216,1557.305109,,,,,,,1614.870753,1409.839817,0.838404768,0.161595232,109,126,53,17,35
2022/10/23,2023,0,,CLE,WAS,1515.441415,1453.853434,0.717110827,0.282889173,1520.640678,1448.654171,,,,,,,1500.411912,1466.873117,0.590678355,0.409321645,117,107,44,41,43
2022/10/23,2023,0,,NOP,UTA,1574.509325,1571.989004,0.643400573,0.356599427,1568.8435,1577.65483,,,,,,,1569.644361,1535.535567,0.649246677,0.350753323,121,122,71,60,66
2022/10/23,2023,0,,OKC,MIN,1361.664963,1534.426905,0.39679163,0.60320837,1353.88255,1542.209317,,,,,,,1325.352677,1617.293097,0.186562375,0.813437625,106,116,33,7,20
2022/10/23,2023,0,,GSW,SAC,1649.273492,1394.019646,0.885441981,0.114558019,1650.529038,1392.7641,,,,,,,1608.751417,1465.532621,0.817593767,0.182406233,130,125,64,14,39
2022/10/23,2023,0,,LAC,PHO,1532.233716,1583.858687,0.569170852,0.430829148,1514.888631,1601.203772,,,,,,,1592.192862,1617.7798,0.505138478,0.494861522,95,112,86,36,61
2022/10/24,2023,0,,PHI,IND,1553.479193,1389.495936,0.820481012,0.179518988,1557.291846,1385.683284,,,,,,,1621.972623,1438.372174,0.815093615,0.184906385,120,106,61,20,41
2022/10/24,2023,0,,NYK,ORL,1524.826236,1356.471173,0.824157931,0.175842069,1528.373751,1352.923659,,,,,,,1548.811759,1300.152073,0.866630427,0.133369573,115,102,19,7,13
2022/10/24,2023,0,,MIA,TOR,1592.368582,1547.875227,0.696729188,0.303270812,1578.06333,1562.180479,,,,,,,1627.83736,1589.61203,0.651452082,0.348547918,90,98,87,29,58
2022/10/24,2023,0,,MIN,SAS,1542.209317,1488.579684,0.707725578,0.292274422,1526.500939,1504.288062,,,,,,,1613.18367,1456.551076,0.749282393,0.250717607,106,115,63,19,41
2022/10/24,2023,0,,CHI,BOS,1433.372302,1674.784059,0.307032072,0.692967928,1457.173403,1650.982958,,,,,,,1478.642911,1698.722957,0.310831593,0.689168407,120,102,80,17,49
2022/10/24,2023,0,,MEM,BRK,1592.208755,1509.788978,0.740792689,0.259207311,1596.903482,1505.094251,,,,,,,1591.873824,1600.32955,0.595755335,0.404244665,134,124,84,31,58
2022/10/24,2023,0,,HOU,UTA,1341.07289,1577.65483,0.312978983,0.687021017,1353.001354,1565.726366,,,,,,,1271.685881,1543.073117,0.286364893,0.713635107,114,108,13,15,14
2022/10/24,2023,0,,POR,DEN,1347.627431,1531.203321,0.381992057,0.618007943,1373.022111,1505.808641,,,,,,,1489.297593,1622.375444,0.350546582,0.649453418,135,110,72,29,51
2022/10/25,2023,0,,WAS,DET,1448.654171,1383.602247,0.721138355,0.278861645,1457.003741,1375.252676,,,,,,,1469.079617,1333.280213,0.767769981,0.232230019,120,99,14,4,9
2022/10/25,2023,0,,NOP,DAL,1568.8435,1616.446244,0.574839187,0.425160813,1572.786842,1612.502902,,,,,,,1527.412774,1618.489126,0.474144633,0.525855367,113,111,78,39,59
2022/10/25,2023,0,,OKC,LAC,1353.88255,1514.888631,0.41309649,0.58690351,1369.754305,1499.016875,,,,,,,1341.354533,1488.248278,0.416611168,0.583388832,108,94,18,14,16
2022/10/25,2023,0,,PHO,GSW,1601.203772,1650.529038,0.572414038,0.427585962,1618.736661,1632.996149,,,,,,,1622.159554,1605.281823,0.638422313,0.361577687,134,105,88,25,57
2022/10/26,2023,0,,CLE,ORL,1520.640678,1352.923659,0.823625018,0.176374982,1523.839775,1349.724562,,,,,,,1503.141701,1313.580018,0.824226965,0.175773035,103,92,15,9,12
2022/10/26,2023,0,,DET,ATL,1375.252676,1520.405216,0.435383641,0.564616359,1369.338396,1526.319497,,,,,,,1344.815484,1586.043384,0.232865118,0.767134882,113,118,32,8,20
2022/10/26,2023,0,,MIL,BRK,1593.797633,1505.094251,0.747677554,0.252322446,1598.625617,1500.266267,,,,,,,1592.140466,1588.493946,0.616917053,0.383082947,110,99,83,44,64
2022/10/26,2023,0,,NYK,CHO,1528.373751,1557.305109,0.600873012,0.399126988,1532.596404,1553.082455,,,,,,,1543.003989,1395.163097,0.783182283,0.216817717,134,131,36,44,40
