Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,Denver Nuggets,0022200026,123,1.0,0.455,0.356,0.739,41.7,27.0,15.7,9.6,3.5,12.2,107.0,97.3,0.564,128,0.0,0.482,0.227,0.944,34.3,20.6,20.6,9.8,2.9,-20.6,100.0,119.4,0.561,0,10/21/2022
New York Knicks,Detroit Pistons,0022200023,130,0.0,0.404,0.243,0.833,50.9,26.4,11.3,6.6,4.7,-2.8,105.7,107.5,0.479,106,1.0,0.426,0.368,0.792,40.6,30.7,12.9,10.9,4.0,4.0,111.9,106.9,0.54,1,10/21/2022
Brooklyn Nets,Toronto Raptors,0022200021,109,0.0,0.449,0.303,0.75,38.2,21.6,15.7,9.8,9.8,-21.6,105.9,127.5,0.542,105,1.0,0.419,0.433,0.719,41.4,19.2,13.1,15.2,4.0,3.0,109.1,106.1,0.54,1,10/21/2022
Miami Heat,Boston Celtics,0022200022,104,0.0,0.463,0.429,0.786,43.8,20.0,18.1,5.7,1.9,-7.6,102.9,110.5,0.585,111,1.0,0.561,0.343,0.786,37.1,24.7,11.3,8.2,3.1,9.3,129.9,119.4,0.668,0,10/21/2022
Houston Rockets,Memphis Grizzlies,0022200024,122,0.0,0.429,0.257,0.933,50.9,23.6,15.1,3.8,2.8,-9.4,100.9,110.4,0.511,129,1.0,0.389,0.34,0.609,59.8,25.2,13.1,5.6,6.5,2.8,107.5,105.7,0.487,0,10/21/2022
Portland Trail Blazers,Phoenix Suns,0022200027,113,1.0,0.443,0.393,0.788,43.6,19.8,10.9,10.9,2.0,6.9,113.9,106.9,0.561,111,1.0,0.471,0.364,0.864,42.6,26.6,12.8,4.3,5.3,2.1,113.8,110.5,0.565,1,10/21/2022
Atlanta Hawks,Orlando Magic,0022200020,108,1.0,0.5,0.28,0.833,35.8,28.3,8.5,11.3,4.7,9.4,110.4,100.9,0.582,98,0.0,0.488,0.367,0.737,47.1,20.6,17.6,4.9,4.9,-3.9,106.9,111.9,0.578,1,10/21/2022
Indiana Pacers,San Antonio Spurs,0022200018,134,0.0,0.402,0.357,0.667,40.4,20.2,14.4,6.7,4.8,-6.7,102.9,108.6,0.504,137,0.0,0.404,0.206,0.714,41.9,21.0,14.3,7.6,7.6,-25.7,97.1,120.6,0.471,0,10/21/2022
Minnesota Timberwolves,Utah Jazz,0022200025,126,1.0,0.415,0.263,0.818,52.4,23.8,13.3,5.7,4.8,6.7,109.5,100.9,0.53,132,1.0,0.506,0.421,0.742,41.7,26.2,19.4,9.7,1.0,20.4,119.4,100.0,0.636,0,10/21/2022
Charlotte Hornets,New Orleans Pelicans,0022200017,112,1.0,0.511,0.448,0.87,47.7,24.3,14.0,6.5,9.3,25.2,120.6,97.1,0.619,124,1.0,0.49,0.462,0.72,59.8,30.4,12.7,8.8,3.9,21.6,127.5,105.9,0.575,0,10/21/2022
Washington Wizards,Chicago Bulls,0022200019,102,1.0,0.457,0.355,0.792,50.5,20.0,16.2,4.8,9.5,6.7,108.6,102.9,0.556,100,1.0,0.441,0.361,0.75,43.8,21.9,14.3,11.4,5.7,7.6,110.5,102.9,0.551,1,10/21/2022
Philadelphia 76ers,San Antonio Spurs,0022200028,105,0.0,0.466,0.31,0.854,38.9,17.1,12.4,7.3,4.1,-5.7,106.2,112.5,0.566,114,0.5,0.467,0.369,0.723,37.5,25.9,14.8,7.9,5.6,-11.1,110.6,119.5,0.573,0,10/22/2022
