Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Chicago Bulls,Cleveland Cavaliers,0022200032,96,0.5,0.43,0.317,0.787,41.6,20.8,13.9,9.9,4.5,3.0,106.9,102.9,0.543,128,0.0,0.494,0.357,0.826,38.4,25.3,17.2,5.1,5.1,-3.0,106.1,109.1,0.603,0,10/22/2022
Orlando Magic,Boston Celtics,0022200030,120,0.0,0.452,0.297,0.776,45.3,18.2,18.2,6.9,5.9,-6.9,102.0,108.9,0.552,126,1.0,0.54,0.382,0.86,41.1,21.4,16.1,6.3,7.3,8.3,123.4,114.5,0.659,0,10/22/2022
Miami Heat,Toronto Raptors,0022200031,112,0.0,0.459,0.37,0.791,41.0,22.0,14.5,7.0,2.5,-7.5,106.0,113.5,0.555,109,0.5,0.453,0.414,0.7,42.1,22.6,14.4,12.3,4.1,-0.5,109.2,110.3,0.555,1,10/22/2022
Sacramento Kings,LA Clippers,0022200036,109,0.0,0.459,0.386,0.684,40.6,26.7,15.8,7.9,5.0,-6.9,106.9,113.9,0.578,111,1.0,0.463,0.31,0.645,55.8,17.3,22.1,6.7,6.7,5.8,99.0,91.5,0.55,0,10/22/2022
Milwaukee Bucks,Houston Rockets,0022200033,125,1.0,0.405,0.31,0.643,50.5,25.3,14.7,4.2,6.3,2.1,94.7,92.6,0.499,105,0.0,0.45,0.357,0.711,47.4,20.6,14.4,3.8,4.3,-8.1,109.6,118.3,0.543,1,10/22/2022
Dallas Mavericks,Memphis Grizzlies,0022200034,137,0.0,0.467,0.4,0.618,42.1,17.9,12.6,6.3,4.2,-2.1,110.5,113.8,0.584,96,1.0,0.422,0.391,0.654,54.5,25.4,12.4,6.7,8.1,4.8,116.7,112.0,0.533,1,10/22/2022
Indiana Pacers,Detroit Pistons,0022200029,124,0.0,0.448,0.338,0.814,38.7,24.4,14.3,6.9,5.1,-4.6,111.1,116.2,0.548,115,0.5,0.429,0.311,0.679,43.9,27.8,13.7,8.3,2.9,-9.8,106.8,116.0,0.525,1,10/22/2022
Denver Nuggets,Oklahoma City Thunder,0022200035,122,0.5,0.509,0.357,0.884,36.5,24.5,19.7,9.6,2.4,-7.7,110.6,116.6,0.612,117,0.0,0.384,0.311,0.818,53.3,20.6,13.1,5.6,5.6,-6.5,100.9,109.5,0.497,1,10/22/2022
Golden State Warriors,Sacramento Kings,0022200042,130,0.5,0.465,0.348,0.82,37.2,29.1,16.6,9.4,3.1,4.0,110.3,108.7,0.589,125,0.0,0.465,0.392,0.622,40.2,25.6,14.1,6.5,5.0,-4.5,109.0,113.0,0.572,1,10/23/2022
Los Angeles Lakers,Portland Trail Blazers,0022200037,104,0.0,0.388,0.224,0.804,39.4,21.1,14.7,11.5,4.1,-9.2,94.5,103.2,0.489,106,1.0,0.441,0.368,0.826,43.8,16.2,15.2,9.0,3.3,4.3,108.6,104.8,0.569,0,10/23/2022
LA Clippers,Phoenix Suns,0022200043,95,1.0,0.484,0.353,0.755,48.3,20.7,17.7,7.4,4.9,3.9,105.4,101.0,0.581,112,0.5,0.464,0.367,0.791,40.1,27.7,14.4,8.9,3.0,0.0,107.9,106.9,0.551,0,10/23/2022
Cleveland Cavaliers,Washington Wizards,0022200039,117,0.5,0.531,0.473,0.854,43.7,28.9,17.8,4.6,5.1,14.7,118.3,103.6,0.647,107,1.0,0.483,0.368,0.829,45.1,23.0,16.7,6.4,8.8,4.4,105.9,103.0,0.576,1,10/23/2022
Atlanta Hawks,Charlotte Hornets,0022200038,109,1.0,0.475,0.357,0.875,40.4,26.9,12.5,10.6,3.4,9.6,108.2,99.0,0.572,126,0.5,0.482,0.413,0.838,41.9,26.7,13.8,7.6,6.7,7.1,114.8,108.1,0.581,0,10/23/2022
Oklahoma City Thunder,Minnesota Timberwolves,0022200041,106,0.0,0.415,0.349,0.8,49.3,24.2,12.8,7.6,5.2,-5.7,106.6,113.9,0.529,116,0.5,0.438,0.296,0.786,52.8,20.6,15.6,5.0,5.5,0.5,110.6,109.1,0.534,0,10/23/2022
New Orleans Pelicans,Utah Jazz,0022200040,121,1.0,0.482,0.417,0.806,55.3,26.2,14.1,8.7,5.3,16.5,123.3,107.3,0.582,122,1.0,0.469,0.409,0.712,44.9,30.6,15.3,9.7,4.2,12.5,118.1,106.0,0.588,0,10/23/2022
Philadelphia 76ers,Indiana Pacers,0022200044,120,0.0,0.457,0.315,0.812,40.1,20.6,12.5,7.0,4.5,-7.0,108.0,115.4,0.559,106,0.333,0.444,0.353,0.791,44.8,25.4,13.2,6.9,8.2,-0.3,114.4,114.7,0.547,1,10/24/2022
Chicago Bulls,Boston Celtics,0022200047,120,0.333,0.422,0.293,0.802,39.7,20.3,12.7,10.7,5.3,-8.7,104.0,111.9,0.531,102,1.0,0.52,0.391,0.845,39.7,22.3,13.4,5.8,6.8,7.5,124.3,116.8,0.65,1,10/24/2022
New York Knicks,Orlando Magic,0022200046,115,0.5,0.461,0.333,0.725,49.5,27.1,11.4,5.2,5.2,10.0,115.2,104.7,0.546,102,0.0,0.46,0.347,0.736,46.4,19.2,15.2,6.3,6.3,-6.6,108.3,114.5,0.559,1,10/24/2022
Miami Heat,Toronto Raptors,0022200045,90,0.333,0.472,0.369,0.843,42.7,24.4,15.3,5.4,2.4,-4.1,109.8,113.9,0.581,98,0.333,0.444,0.392,0.718,41.0,23.4,11.7,11.4,4.5,-1.4,111.0,112.8,0.553,0,10/24/2022
Houston Rockets,Utah Jazz,0022200048,114,0.0,0.43,0.383,0.731,47.4,20.5,14.3,5.5,4.9,-12.0,108.4,120.8,0.533,108,1.0,0.459,0.389,0.75,43.3,29.1,15.3,10.4,4.6,8.6,115.6,107.1,0.576,1,10/24/2022
Portland Trail Blazers,Denver Nuggets,0022200051,135,1.0,0.441,0.369,0.823,46.2,17.0,16.3,8.0,3.8,3.5,107.1,104.2,0.564,110,0.667,0.504,0.426,0.757,39.2,27.0,19.0,8.0,3.5,-3.5,113.2,115.2,0.614,1,10/24/2022
Minnesota Timberwolves,San Antonio Spurs,0022200050,106,0.667,0.464,0.295,0.744,53.1,21.7,15.4,6.3,4.7,3.5,112.3,108.1,0.552,115,0.667,0.472,0.388,0.738,40.0,26.8,14.8,7.1,6.1,-4.8,113.9,117.2,0.58,0,10/24/2022
Memphis Grizzlies,Brooklyn Nets,0022200049,134,0.667,0.425,0.36,0.697,46.0,23.5,14.1,5.8,8.0,-10.0,109.3,120.1,0.534,124,0.5,0.462,0.338,0.717,42.1,24.4,14.7,6.6,11.7,-9.1,110.2,118.7,0.564,1,10/24/2022
Phoenix Suns,Golden State Warriors,0022200055,134,0.667,0.463,0.363,0.818,43.3,28.3,14.0,7.7,3.0,5.7,110.0,104.0,0.557,105,0.667,0.482,0.369,0.779,35.9,26.6,15.0,8.4,3.6,4.2,112.6,110.4,0.603,1,10/25/2022
Washington Wizards,Detroit Pistons,0022200052,120,0.667,0.486,0.388,0.76,41.6,23.6,17.7,7.2,7.2,-0.3,105.9,106.6,0.575,99,0.333,0.416,0.353,0.709,46.4,26.9,13.6,7.1,2.9,-9.4,108.4,117.9,0.527,1,10/25/2022
Oklahoma City Thunder,LA Clippers,0022200054,108,0.0,0.422,0.306,0.773,46.9,24.1,12.2,7.4,4.8,-7.1,106.4,114.6,0.524,94,0.667,0.469,0.325,0.74,47.0,19.3,17.0,8.3,3.3,-3.0,103.0,105.3,0.562,1,10/25/2022
New Orleans Pelicans,Dallas Mavericks,0022200053,113,0.667,0.478,0.373,0.798,50.2,26.5,14.5,8.2,5.4,10.4,118.3,108.6,0.568,111,0.5,0.485,0.419,0.729,47.2,20.5,13.8,6.7,5.6,20.0,124.1,103.6,0.618,1,10/25/2022
Chicago Bulls,Indiana Pacers,0022200061,124,0.5,0.437,0.327,0.826,44.5,22.4,12.9,9.0,5.5,-2.0,107.5,109.2,0.549,109,0.25,0.439,0.331,0.789,46.0,26.2,13.3,6.1,7.3,-3.6,114.0,118.0,0.543,1,10/26/2022
New York Knicks,Charlotte Hornets,0022200058,134,0.667,0.461,0.321,0.723,49.8,26.2,12.3,5.8,4.5,11.0,115.5,104.9,0.548,131,0.667,0.495,0.416,0.776,45.0,27.0,13.8,7.4,6.4,10.3,118.0,108.1,0.591,1,10/26/2022
Cleveland Cavaliers,Orlando Magic,0022200056,103,0.667,0.492,0.443,0.864,44.7,25.3,16.0,6.3,5.0,13.0,116.7,104.4,0.61,92,0.0,0.45,0.308,0.768,45.4,18.0,14.8,6.3,5.8,-8.3,107.5,114.9,0.549,1,10/26/2022
Detroit Pistons,Atlanta Hawks,0022200057,113,0.25,0.414,0.34,0.721,45.2,23.3,13.5,6.9,2.5,-12.3,106.4,118.7,0.521,118,0.667,0.453,0.308,0.853,41.7,25.6,12.3,9.7,5.2,1.0,108.1,107.5,0.549,0,10/26/2022
Milwaukee Bucks,Brooklyn Nets,0022200060,110,1.0,0.485,0.397,0.629,49.0,27.3,15.5,5.2,8.2,11.3,110.8,99.5,0.583,99,0.333,0.488,0.33,0.747,40.0,25.4,13.6,5.8,10.2,-9.5,115.6,124.7,0.586,1,10/26/2022
Utah Jazz,Houston Rockets,0022200063,109,0.75,0.462,0.38,0.719,44.7,27.8,16.5,9.9,5.9,5.2,114.1,108.7,0.568,101,0.25,0.428,0.366,0.768,47.3,19.6,14.7,5.9,5.4,-7.6,109.8,118.0,0.536,1,10/26/2022
Portland Trail Blazers,Miami Heat,0022200065,98,1.0,0.475,0.395,0.803,46.3,18.6,15.0,6.9,4.4,8.8,115.0,106.7,0.597,119,0.25,0.441,0.331,0.856,43.9,23.2,14.5,5.4,2.6,-5.1,105.6,110.7,0.554,0,10/26/2022
Denver Nuggets,Los Angeles Lakers,0022200064,110,0.5,0.501,0.416,0.727,39.3,27.5,16.5,7.1,2.9,-8.8,113.5,121.2,0.602,99,0.0,0.407,0.212,0.803,39.5,22.6,14.1,10.7,5.6,-6.9,97.2,103.4,0.498,1,10/26/2022
Minnesota Timberwolves,San Antonio Spurs,0022200062,134,0.5,0.459,0.287,0.784,52.1,22.1,15.5,6.4,4.8,0.5,110.2,108.7,0.551,122,0.75,0.468,0.371,0.71,42.0,29.0,14.3,8.0,4.6,-1.4,113.0,113.9,0.564,1,10/26/2022
Toronto Raptors,Philadelphia 76ers,0022200059,119,0.5,0.431,0.403,0.735,44.2,23.3,11.9,10.1,4.9,1.0,108.5,107.8,0.544,109,0.25,0.462,0.356,0.835,40.5,22.1,11.6,7.4,5.3,-1.6,113.2,114.7,0.582,1,10/26/2022
Golden State Warriors,Miami Heat,0022200068,123,0.5,0.474,0.35,0.777,36.6,26.8,15.1,8.0,4.3,-3.4,110.1,114.8,0.586,110,0.4,0.455,0.346,0.853,44.7,25.6,15.4,7.0,2.5,0.2,109.2,108.8,0.568,1,10/27/2022
Brooklyn Nets,Dallas Mavericks,0022200066,125,0.25,0.465,0.315,0.761,38.9,24.6,13.6,6.0,9.0,-9.8,110.6,119.8,0.564,129,0.333,0.49,0.381,0.723,44.8,20.1,13.5,7.3,5.6,12.8,122.6,109.0,0.612,0,10/27/2022
Sacramento Kings,Memphis Grizzlies,0022200069,110,0.0,0.467,0.344,0.686,42.4,26.5,14.2,7.4,3.9,-4.5,110.7,114.5,0.568,125,0.75,0.443,0.384,0.72,44.3,23.0,13.0,6.1,6.8,-5.1,115.9,121.6,0.556,0,10/27/2022
Oklahoma City Thunder,LA Clippers,0022200067,118,0.25,0.411,0.273,0.78,49.6,22.7,10.6,8.4,5.5,-1.9,105.8,108.8,0.502,110,0.5,0.457,0.325,0.747,46.7,19.6,17.4,7.4,6.0,-5.7,100.0,104.9,0.55,1,10/27/2022
San Antonio Spurs,Chicago Bulls,0022200077,129,0.6,0.465,0.386,0.748,41.4,29.7,14.5,7.5,4.0,-3.5,113.7,116.7,0.568,124,0.6,0.449,0.371,0.842,44.2,24.6,13.9,9.1,5.3,1.4,110.1,108.5,0.566,1,10/28/2022
Phoenix Suns,New Orleans Pelicans,0022200079,124,0.75,0.475,0.375,0.82,44.1,28.7,13.9,7.7,3.2,11.4,114.9,103.5,0.575,111,0.75,0.499,0.392,0.784,45.0,26.5,14.6,8.0,4.9,8.5,118.7,111.0,0.59,1,10/28/2022
Boston Celtics,Cleveland Cavaliers,0022200072,123,0.75,0.477,0.387,0.843,41.0,23.2,12.7,5.6,6.9,1.0,118.3,117.0,0.605,132,0.75,0.472,0.405,0.813,44.7,25.5,15.4,6.3,4.5,12.6,114.4,102.0,0.585,0,10/28/2022
Orlando Magic,Charlotte Hornets,0022200071,113,0.0,0.446,0.299,0.767,45.2,18.3,15.3,6.3,5.8,-8.9,105.0,113.5,0.542,93,0.5,0.495,0.417,0.742,43.0,27.2,13.7,7.6,5.9,6.9,117.7,111.1,0.589,1,10/28/2022
Detroit Pistons,Atlanta Hawks,0022200070,112,0.2,0.424,0.358,0.714,44.4,23.4,13.7,6.3,3.2,-10.9,108.1,118.5,0.529,136,0.75,0.463,0.319,0.839,42.8,24.7,12.2,8.8,6.8,2.0,110.5,109.4,0.557,0,10/28/2022
Milwaukee Bucks,New York Knicks,0022200075,119,1.0,0.471,0.358,0.688,50.0,24.8,16.4,6.0,9.4,11.1,109.1,98.3,0.57,108,0.75,0.48,0.331,0.759,47.5,25.4,12.8,5.5,5.9,8.8,116.6,108.1,0.568,1,10/28/2022
Portland Trail Blazers,Houston Rockets,0022200080,125,0.8,0.467,0.378,0.784,45.0,19.0,15.8,7.3,4.4,3.0,112.3,110.0,0.588,111,0.2,0.419,0.346,0.764,46.9,19.2,15.3,6.0,4.7,-7.6,106.4,114.2,0.526,1,10/28/2022
Denver Nuggets,Utah Jazz,0022200078,117,0.6,0.492,0.384,0.743,41.9,28.6,15.3,8.0,3.3,-4.9,111.9,116.1,0.59,101,0.8,0.455,0.36,0.706,45.5,27.3,16.1,9.9,5.6,5.6,111.2,105.6,0.56,1,10/28/2022
Minnesota Timberwolves,Los Angeles Lakers,0022200076,111,0.6,0.492,0.347,0.763,47.4,24.8,15.6,6.9,5.0,2.7,113.7,110.2,0.589,102,0.0,0.416,0.223,0.782,41.0,23.0,14.0,10.0,5.2,-7.8,96.9,104.0,0.501,1,10/28/2022
Washington Wizards,Indiana Pacers,0022200074,117,0.75,0.494,0.364,0.789,43.1,24.3,16.3,7.2,7.2,5.0,109.7,105.0,0.587,127,0.2,0.438,0.345,0.789,44.2,26.9,14.5,5.8,8.1,-5.8,112.4,118.4,0.547,0,10/28/2022
Toronto Raptors,Philadelphia 76ers,0022200073,90,0.6,0.454,0.41,0.741,43.7,25.4,11.4,10.0,5.0,2.9,112.1,109.6,0.566,112,0.2,0.47,0.375,0.81,39.7,23.9,12.1,7.2,4.7,-3.4,114.0,117.1,0.59,0,10/28/2022
Chicago Bulls,Philadelphia 76ers,0022200084,109,0.5,0.454,0.365,0.836,43.4,23.6,13.6,9.7,4.9,0.3,111.3,110.8,0.565,114,0.333,0.48,0.383,0.819,40.5,24.4,12.7,8.0,4.9,1.1,115.0,114.0,0.598,0,10/29/2022
Brooklyn Nets,Indiana Pacers,0022200083,116,0.2,0.464,0.321,0.791,39.4,23.3,13.6,6.7,8.3,-8.5,111.4,120.2,0.569,125,0.333,0.447,0.366,0.816,43.6,27.4,14.4,5.5,7.9,-3.2,114.6,118.0,0.565,0,10/29/2022
Sacramento Kings,Miami Heat,0022200081,119,0.0,0.47,0.338,0.717,41.9,27.0,14.0,6.9,3.4,-7.1,110.8,117.3,0.574,113,0.333,0.453,0.342,0.848,42.3,25.5,14.8,8.5,2.9,-2.0,109.2,111.4,0.567,1,10/29/2022
Milwaukee Bucks,Atlanta Hawks,0022200085,123,1.0,0.445,0.338,0.725,52.0,24.1,13.9,6.5,9.0,10.9,110.4,99.8,0.547,115,0.8,0.485,0.338,0.829,43.4,26.0,11.2,8.1,7.1,6.3,116.0,110.1,0.576,1,10/29/2022
Utah Jazz,Memphis Grizzlies,0022200087,124,0.667,0.449,0.343,0.717,44.7,27.0,15.3,9.5,6.0,2.2,110.5,107.9,0.552,123,0.8,0.461,0.391,0.72,44.1,23.8,13.2,5.9,6.1,-1.2,117.9,119.6,0.569,1,10/29/2022
Dallas Mavericks,Oklahoma City Thunder,0022200086,111,0.5,0.494,0.412,0.736,42.1,21.1,14.5,7.4,5.1,10.4,122.3,110.5,0.626,117,0.4,0.427,0.307,0.788,47.0,23.5,10.9,8.7,5.2,0.0,108.2,109.2,0.52,0,10/29/2022
Charlotte Hornets,Golden State Warriors,0022200082,120,0.4,0.474,0.386,0.727,43.8,26.0,14.0,6.7,5.5,1.7,113.0,111.3,0.569,113,0.6,0.479,0.36,0.788,39.2,27.4,16.2,7.3,3.9,-0.4,112.7,113.7,0.593,1,10/29/2022
San Antonio Spurs,Minnesota Timberwolves,0022200092,107,0.667,0.476,0.393,0.759,41.1,30.6,15.4,7.4,3.8,-2.1,115.0,116.7,0.583,98,0.667,0.478,0.343,0.746,47.1,24.8,14.5,7.7,5.4,3.6,111.8,107.4,0.574,1,10/30/2022
Los Angeles Lakers,Denver Nuggets,0022200095,121,0.0,0.416,0.237,0.763,42.9,22.0,15.3,9.4,5.1,-7.9,96.2,103.8,0.502,110,0.667,0.487,0.398,0.72,44.7,27.0,14.8,7.1,3.5,-1.5,113.3,114.6,0.589,1,10/30/2022
Phoenix Suns,Houston Rockets,0022200094,124,0.8,0.485,0.359,0.835,44.7,29.6,13.5,7.6,4.0,11.7,116.9,105.2,0.583,109,0.167,0.42,0.35,0.771,45.4,19.7,15.5,6.6,4.8,-8.6,106.6,115.7,0.528,1,10/30/2022
Boston Celtics,Washington Wizards,0022200089,112,0.6,0.484,0.388,0.835,38.8,23.7,13.7,6.2,5.8,-1.0,117.1,117.9,0.612,94,0.6,0.491,0.372,0.798,42.0,24.4,15.6,6.7,6.3,2.0,110.9,109.1,0.589,1,10/30/2022
LA Clippers,New Orleans Pelicans,0022200088,91,0.4,0.473,0.324,0.743,46.2,19.9,17.9,7.2,5.8,-6.2,102.2,107.5,0.563,112,0.6,0.488,0.396,0.806,42.7,26.3,14.5,8.4,4.1,4.3,117.5,113.8,0.588,0,10/30/2022
Cleveland Cavaliers,New York Knicks,0022200090,121,0.8,0.481,0.417,0.8,43.4,23.6,15.2,5.9,4.0,11.7,115.8,104.4,0.598,108,0.6,0.464,0.333,0.739,48.4,24.0,12.8,5.5,5.7,5.0,114.1,109.4,0.555,1,10/30/2022
Detroit Pistons,Golden State Warriors,0022200091,128,0.167,0.425,0.337,0.737,44.0,22.5,13.2,5.6,3.3,-13.1,108.9,121.8,0.531,114,0.5,0.472,0.348,0.784,40.3,27.7,15.1,7.3,4.2,-1.4,111.7,113.6,0.582,1,10/30/2022
Dallas Mavericks,Orlando Magic,0022200093,114,0.4,0.473,0.368,0.748,42.7,19.9,14.5,7.4,5.0,7.0,117.9,110.3,0.599,105,0.167,0.454,0.294,0.76,45.6,19.9,14.7,6.5,5.7,-4.0,106.2,110.0,0.549,1,10/30/2022
Brooklyn Nets,Indiana Pacers,0022200098,116,0.167,0.47,0.328,0.788,38.8,24.4,12.9,6.6,8.5,-8.6,112.9,121.6,0.578,109,0.429,0.444,0.388,0.821,45.1,28.0,14.1,5.7,7.0,-1.5,116.5,118.4,0.569,1,10/31/2022
LA Clippers,Houston Rockets,0022200102,95,0.333,0.464,0.315,0.73,45.5,20.8,17.6,6.5,5.9,-8.7,101.3,109.2,0.551,93,0.143,0.422,0.346,0.782,46.0,19.5,15.5,6.7,4.3,-9.5,107.3,117.2,0.531,1,10/31/2022
Milwaukee Bucks,Detroit Pistons,0022200100,110,1.0,0.454,0.347,0.708,51.3,24.1,13.5,6.8,8.2,10.3,112.7,102.6,0.555,108,0.286,0.432,0.349,0.766,44.3,22.7,13.6,5.4,3.3,-9.2,111.3,120.0,0.547,1,10/31/2022
Utah Jazz,Memphis Grizzlies,0022200101,121,0.714,0.458,0.357,0.721,43.1,27.4,15.9,9.3,6.0,2.1,112.0,109.4,0.564,105,0.667,0.478,0.397,0.721,43.1,23.7,14.2,6.7,5.9,-1.1,118.0,119.9,0.582,1,10/31/2022
Charlotte Hornets,Sacramento Kings,0022200096,108,0.5,0.465,0.376,0.737,45.2,26.7,13.2,5.9,4.9,2.5,113.0,110.5,0.56,115,0.2,0.485,0.356,0.719,42.1,27.0,15.4,5.7,3.9,-4.5,112.4,116.0,0.592,0,10/31/2022
Washington Wizards,Philadelphia 76ers,0022200097,111,0.5,0.472,0.344,0.783,43.7,24.1,14.8,6.5,6.3,-1.3,108.6,110.1,0.563,118,0.429,0.481,0.396,0.818,40.5,24.9,13.6,7.9,5.1,1.6,114.7,112.9,0.603,0,10/31/2022
Toronto Raptors,Atlanta Hawks,0022200099,139,0.5,0.442,0.376,0.721,44.5,24.8,12.6,9.9,5.1,-1.4,109.8,111.4,0.549,109,0.667,0.484,0.357,0.825,43.1,24.8,11.5,7.6,6.3,3.9,115.6,112.0,0.575,1,10/31/2022
Brooklyn Nets,Chicago Bulls,0022200103,99,0.286,0.479,0.333,0.805,38.6,24.4,13.8,7.2,8.5,-6.4,112.6,119.1,0.587,108,0.429,0.453,0.363,0.845,42.8,23.3,14.2,9.3,4.6,-0.4,110.7,111.1,0.568,0,11/01/2022
Phoenix Suns,Minnesota Timberwolves,0022200106,116,0.833,0.493,0.347,0.813,43.4,29.6,13.3,7.8,4.7,12.3,118.5,106.2,0.592,107,0.571,0.467,0.318,0.741,46.9,24.3,14.1,8.2,5.6,1.9,110.1,107.5,0.556,1,11/01/2022
Miami Heat,Golden State Warriors,0022200104,116,0.286,0.449,0.348,0.846,41.0,24.3,13.9,8.2,2.9,-2.6,109.4,112.5,0.565,109,0.429,0.465,0.343,0.811,40.3,26.9,15.0,7.4,4.2,-3.1,111.4,115.2,0.578,1,11/01/2022
Oklahoma City Thunder,Orlando Magic,0022200105,116,0.5,0.437,0.295,0.785,46.5,23.5,11.4,8.7,5.3,1.0,108.4,107.9,0.528,108,0.143,0.455,0.305,0.757,46.3,20.2,14.5,6.0,5.7,-4.8,107.3,112.0,0.551,1,11/01/2022
Philadelphia 76ers,Washington Wizards,0022200108,111,0.5,0.491,0.396,0.805,40.1,25.1,13.7,8.7,4.8,2.3,115.3,112.8,0.608,121,0.429,0.471,0.351,0.815,43.4,23.8,15.0,6.7,6.0,-2.1,109.1,111.4,0.568,0,11/02/2022
San Antonio Spurs,Toronto Raptors,0022200114,100,0.714,0.468,0.394,0.759,42.7,30.1,16.0,7.2,4.3,-0.6,114.1,114.3,0.578,143,0.571,0.451,0.381,0.744,44.2,24.7,11.7,10.4,5.6,3.3,113.6,110.5,0.563,0,11/02/2022
Los Angeles Lakers,New Orleans Pelicans,0022200117,120,0.167,0.427,0.266,0.769,44.3,22.4,14.3,8.7,5.1,-4.9,100.3,104.7,0.515,117,0.667,0.489,0.4,0.795,44.3,27.4,14.4,8.6,3.6,7.1,117.5,111.1,0.587,1,11/02/2022
Chicago Bulls,Charlotte Hornets,0022200111,106,0.5,0.451,0.368,0.847,43.1,23.0,13.7,9.1,4.6,0.7,110.9,110.3,0.566,88,0.429,0.471,0.39,0.723,44.0,27.2,14.2,6.6,5.1,1.2,112.0,110.7,0.565,1,11/02/2022
New York Knicks,Atlanta Hawks,0022200110,99,0.5,0.468,0.338,0.711,48.0,24.4,13.0,6.1,5.1,2.1,113.5,111.4,0.554,112,0.571,0.481,0.36,0.821,42.1,25.2,12.4,6.6,5.9,-0.8,114.2,115.4,0.575,0,11/02/2022
