H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,eloh_pre,eloa_pre,eloh_post,eloa_post
103,0,0.374,0.269,0.588,44.9,20.7,17.2,6.6,3,-27.3,89.4,114.9,0.449,115,0.5,0.494,0.443,0.806,41.8,20.9,11.7,8.7,7.1,7.7,115.3,107.7,0.596,0,1293.359036,1613.255891,1289.005593,1617.609333
104,0.333,0.448,0.362,0.729,44.9,20.9,14.3,6.3,7.6,-11.3,104,115.7,0.549,90,1,0.486,0.369,0.867,42.2,20.9,14.7,9,6.6,7.6,110.4,102.4,0.598,1,1577.61618,1513.441791,1583.979806,1507.078165
116,0,0.436,0.342,0.789,41.1,23.3,6.9,7.9,3,-4,112.4,116.9,0.536,86,0.5,0.513,0.388,0.769,46.6,23.6,10.6,6.3,4.8,12.5,122.6,110.1,0.625,1,1606.377858,1589.374213,1619.881812,1575.870259
107,0.5,0.46,0.353,0.711,52.6,21.4,15.3,5.6,1.9,14.4,106,93.4,0.551,90,0.333,0.405,0.33,0.792,49.8,21.4,16.3,6.1,4.4,-15.3,102.7,117.2,0.525,1,1536.831185,1331.705925,1540.298177,1328.238933
122,0.5,0.43,0.362,0.708,54.2,25.4,10.9,6.5,6,10,103.5,93.5,0.511,104,0,0.393,0.196,0.679,50.5,15.7,20.2,8.1,6.6,-10.6,85.9,95.5,0.447,1,1569.516043,1368.901753,1573.212319,1365.205478
109,0.333,0.465,0.35,0.8,46.5,23.6,14.2,5.3,6.6,2.8,112.6,109.4,0.573,119,0.667,0.456,0.361,0.739,43.9,21,14.5,6.5,4.5,-2.9,110.6,112.8,0.567,0,1491.34227,1641.798743,1482.805898,1650.335114
87,1,0.521,0.377,0.588,42.6,25,19.6,9.3,1.5,8.8,103.9,95.6,0.601,99,0.333,0.477,0.309,0.769,41,28.3,13,6.8,4.6,-5.2,108.8,113.6,0.567,0,1600.077194,1350.628989,1571.585672,1379.12051
98,1,0.443,0.368,0.732,43.5,22.4,17.8,14.5,9.3,11.7,102.8,91.5,0.547,107,0,0.416,0.374,0.771,47.9,22.5,19.9,7.2,5.2,-14,97.1,110.7,0.514,0,1451.929657,1453.458076,1438.446426,1466.941307
129,1,0.469,0.387,0.746,44.7,27.8,12.1,10.2,3.5,8.9,114.1,104.4,0.558,140,0.333,0.414,0.341,0.759,43.3,23,16.9,8.9,8.3,-8,99.4,107.7,0.525,0,1481.599281,1468.674687,1465.692911,1484.581057
108,0.333,0.376,0.264,0.803,54.2,17.6,14.3,11,4,3,97.3,94.7,0.471,111,1,0.459,0.416,0.831,44.9,24.4,14.5,9.9,7.6,12.2,105.3,93.7,0.56,0,1460.480836,1515.333012,1453.931243,1521.882604
