eloh_pre,eloa_pre,eloh_post,eloa_post,Result
1553.624075,1360.930125,1559.829931,1354.724269,1
1625.682624,1513.866646,1630.933707,1508.615562,1
1416.619967,1467.218325,1427.245162,1456.59313,1
1696.131408,1545.5103,1701.527796,1540.113912,1
1460.588971,1534.23904,1449.185533,1545.642477,0
1522.851966,1503.127645,1514.619115,1511.360497,0
1563.419909,1452.096971,1536.222622,1479.294259,0
1290.31073,1431.160837,1285.530637,1435.94093,0
1607.516873,1552.944613,1612.561178,1547.900308,1
1687.063048,1456.59313,1690.427366,1453.228812,1
1354.724269,1475.204381,1343.378795,1486.549855,0
1508.615562,1297.759984,1510.847235,1295.528311,1
1537.564651,1663.753367,1531.836113,1669.481904,0
1290.148314,1548.468048,1284.86639,1553.749972,0
1427.245162,1545.642477,1412.490598,1560.397041,0
1701.527796,1467.032944,1690.012252,1478.548488,0
1449.185533,1502.576817,1457.318101,1494.444249,1
1551.894135,1536.222622,1529.720462,1558.396294,0
1479.294259,1511.360497,1490.950644,1499.704112,1
1435.94093,1630.933707,1444.611531,1622.263106,1
1612.561178,1284.86639,1588.993841,1308.433728,0
1531.836113,1486.549855,1536.392955,1481.993012,1
1295.528311,1343.378795,1283.857419,1355.049687,0
1622.263106,1559.829931,1587.048263,1595.044774,0
1690.012252,1453.228812,1671.506218,1471.734846,0
1485.364641,1669.481904,1506.338222,1648.508324,1
1285.530637,1540.113912,1292.069583,1533.574966,1
1543.482618,1499.704112,1547.32174,1495.86499,1
1690.427366,1494.444249,1696.002898,1488.868716,1
1412.490598,1478.548488,1419.883357,1471.15573,1
1283.857419,1553.749972,1301.312664,1536.294726,1
1490.950644,1514.619115,1496.662513,1508.907246,1
1560.397041,1457.318101,1547.575428,1470.139714,0
1648.508324,1419.883357,1651.302481,1417.0892,1
1547.32174,1355.049687,1550.743119,1351.628308,1
1536.392955,1547.900308,1526.931079,1557.362184,0
1533.574966,1471.15573,1502.836556,1501.894139,0
1671.506218,1488.868716,1674.286446,1486.088489,1
1547.575428,1292.069583,1533.738029,1305.906982,0
1495.86499,1696.002898,1485.71935,1706.148538,0
1481.993012,1301.312664,1485.475786,1297.829891,1
1536.294726,1510.847235,1548.971261,1498.1707,1
1508.907246,1496.662513,1516.250359,1489.319399,1
1444.611531,1470.139714,1454.18731,1460.563935,1
1526.931079,1595.044774,1536.12434,1585.851513,1
1587.048263,1351.628308,1590.319793,1348.356778,1
1417.0892,1502.836556,1402.285427,1517.64033,0
1529.720462,1308.433728,1511.734331,1326.419858,0
1305.906982,1558.396294,1326.601669,1537.701607,1
1557.362184,1511.734331,1549.726262,1519.370253,0
1651.302481,1533.738029,1654.988317,1530.052192,1
1485.71935,1501.894139,1458.149367,1529.464122,0
1485.475786,1471.734846,1473.294884,1483.915748,0
1706.148538,1326.601669,1707.149258,1325.600949,1
1326.419858,1454.18731,1319.458466,1461.148702,0
1548.971261,1297.829891,1549.992404,1296.808748,1
1674.286446,1489.319399,1677.36443,1486.241415,1
1516.250359,1590.319793,1507.019387,1599.550766,0
1498.1707,1348.356778,1501.89181,1344.635668,1
1537.701607,1486.088489,1523.126125,1500.663971,0
1458.149367,1588.993841,1450.666163,1596.477045,0
1473.294884,1519.370253,1483.72621,1508.938927,1
1707.149258,1654.988317,1691.500726,1670.636849,0
1599.550766,1536.12434,1602.691271,1532.983836,1
1677.36443,1507.019387,1679.17591,1505.207907,1
1529.464122,1296.808748,1534.429856,1291.843014,1
1550.743119,1501.89181,1555.578519,1497.05641,1
1517.64033,1523.126125,1509.986605,1530.77985,0
1549.992404,1319.458466,1552.123056,1317.327814,1
1585.851513,1506.338222,1599.394106,1492.795628,1
1402.285427,1530.052192,1385.025869,1547.31175,0
1483.915748,1549.726262,1464.782472,1568.859537,0
1325.600949,1461.148702,1333.58284,1453.166811,1
1534.429856,1679.17591,1527.920564,1685.685202,0
1509.986605,1596.477045,1495.222076,1611.241573,0
1691.500726,1547.31175,1683.432653,1555.379824,0
1460.563935,1505.207907,1444.250924,1521.520918,0
1508.938927,1555.578519,1494.931549,1569.585897,0
1486.241415,1532.983836,1491.964577,1527.260674,1
1500.663971,1344.635668,1506.424953,1338.874686,1
1670.636849,1530.77985,1659.580231,1541.836468,0
1317.327814,1602.691271,1310.797644,1609.221441,0
1552.123056,1464.782472,1555.836867,1461.068662,1
1385.025869,1333.58284,1389.093577,1329.515132,1
1338.874686,1450.666163,1329.55896,1459.98189,0
1491.964577,1483.72621,1479.024325,1496.666462,0
1492.795628,1568.859537,1485.127349,1576.527816,0
1453.166811,1599.394106,1460.602718,1591.9582,1
1569.585897,1494.931549,1575.631967,1488.885479,1
1527.260674,1495.222076,1512.429348,1510.053402,0
1683.432653,1329.515132,1684.959107,1327.988678,1
1389.093577,1521.520918,1393.629307,1516.985188,1
1291.843014,1496.666462,1285.492508,1503.016968,0
1444.250924,1685.685202,1436.824517,1693.11161,0
1497.05641,1506.424953,1484.770168,1518.711196,0
1555.379824,1459.98189,1558.363456,1456.998258,1
1611.241573,1576.527816,1597.306495,1590.462894,0
1310.797644,1609.221441,1304.438216,1615.580868,0
1461.068662,1591.9582,1477.419026,1575.607836,1
1456.998258,1436.824517,1471.268155,1422.554619,1
1512.429348,1684.959107,1529.663255,1667.725199,1
1575.607836,1488.885479,1565.808144,1498.685171,0
1329.55896,1555.836867,1323.416042,1561.979785,0
1393.629307,1516.985188,1380.754924,1529.859571,0
1693.11161,1479.024325,1695.731773,1476.404162,1
1484.770168,1575.631967,1479.774726,1580.627409,0
1485.127349,1510.053402,1491.869827,1503.310924,1
1558.363456,1527.920564,1565.478163,1520.805857,1
1327.988678,1503.016968,1345.357726,1485.647919,1
1597.306495,1503.310924,1586.026568,1514.590852,0
1323.416042,1541.836468,1315.897271,1549.355239,0
1285.492508,1520.805857,1291.706188,1514.592177,1
1615.580868,1460.602718,1621.201977,1454.981608,1
1695.731773,1659.580231,1682.769367,1672.542637,0
1477.419026,1580.627409,1473.424691,1584.621743,0
1471.268155,1476.404162,1476.066275,1471.606043,1
1529.663255,1304.438216,1531.15199,1302.949481,1
1565.808144,1479.774726,1568.618294,1476.964576,1
1380.754924,1561.979785,1387.109158,1555.62555,1
1518.711196,1667.725199,1498.88582,1687.550575,0
1491.869827,1485.647919,1500.598939,1476.918808,1
1345.357726,1529.859571,1338.415052,1536.802246,0
1590.462894,1315.897271,1593.078282,1313.281883,1
1672.542637,1555.62555,1675.738887,1552.429299,1
1584.621743,1302.949481,1585.590869,1301.980356,1
1586.026568,1565.478163,1567.042353,1584.462378,0
1514.590852,1471.606043,1490.689779,1495.507116,0
1621.201977,1291.706188,1593.851822,1319.056343,0
1422.554619,1498.685171,1428.986454,1492.253336,1
1536.802246,1549.355239,1545.859765,1540.297719,1
